deal_id,pe_firm,platform_name,facility_name,ccn,state,city,address,source_platform_link,source_facility_link,cms_owner_name,cms_affiliated_entity,ownership_effective_date,cms_change_of_ownership_flag,pre_owner_name,pre_owner_effective_end,pre_owner_pe_status,pre_operator_name,post_operator_name,post_owner_pe_status,transition_basis,transition_type,transition_verified,match_quality,verification_tier,verification_notes,analysis_sample,evidence_pathway,current_pe_evidence,pre_period_certainty
PE002,Assured Healthcare Partners,Regency Integrated Health Services,Val Verde Nursing And Rehabilitation Center,675395,TX,Del Rio,"100 Hermann Dr, Del Rio, TX 78840",https://www.regencyhealthcare.com/locations/,https://projects.propublica.org/nursing-homes/homes/h-675395,Val Verde County Hospital District (100%),Affiliated With Wellsential Health,Apr 2022,yes,Pre-2022 for-profit ownership structure at same CCN/address,before Apr 2022,unknown,unknown,Regency IHS of Val Verde LLC / Regency Integrated Health Services LLC,pe,owner_and_operator_change,unclear,no,exact,silver,"Current CMS-linked data show Regency managerial control from Apr 2022. Older provider listings suggest a different pre-2022 ownership structure, but the immediate prior owner/operator still needs direct CMS change-of-ownership confirmation.",silver_main,chain_deal_plus_facility_match,facility_cms_managerial,likely_non_pe
PE007,Tryko Partners,Marquis Health Services,Berlin Rehabilitation & Healthcare Center,315461,NJ,Berlin,"100 Long A Coming Lane, Berlin, NJ 08009",https://seniorshousingbusiness.com/tryko-partners-buys-308-bed-virtua-health-skilled-nursing-portfolio-in-new-jersey/,https://projects.propublica.org/nursing-homes/homes/h-315461,Quinto Nexgen LLC; Ukr Nexgen LLC,Affiliated With Marquis Health Services,Apr 2022,yes,"West Jersey Nursing Center Inc. / Virtua Health, Inc.",before Apr 2022,non_pe,Virtua H & R C at Berlin,Marquis Limited LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"A very strong Tryko row. The pre-period facility was a nonprofit Virtua-linked provider, while the post-period CMS-linked page shows Tryko-linked ownership and Marquis managerial control from Apr 2022.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE007,Tryko Partners,Marquis Health Services,Cambridge Rehabilitation And Healthcare Center,315201,NJ,Moorestown,"255 East Main St, Moorestown, NJ 08057",https://www.kaufmanhall.com/news/kaufman-hall-advises-virtua-health-skilled-nursing-facility-transaction,https://projects.propublica.org/nursing-homes/homes/h-315201,Ukr Consulting LLC (10%),Affiliated With Marquis Health Services,Jan 2021,yes,Lutheran Home at Moorestown,before Jan 2021,non_pe,Lutheran Crossings Enhanced Living at Moorestown,Marquis Limited LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"This is another strong target. The 2019 CMS-mirrored page shows a church-related nonprofit owner/operator, while the current CMS-linked page shows Tryko-linked indirect owners and Marquis managerial control since Jan 2021.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE007,Tryko Partners,Marquis Health Services,Canterbury Rehabilitation And Healthcare Center,495272,VA,Richmond,"1776 Cambridge Drive, Richmond, VA 23238",https://www.roi-nj.com/2020/02/25/healthcare/tryko-partners-grows-in-mid-atlantic-with-acquisition-of-3-skilled-nursing-facilities/,https://projects.propublica.org/nursing-homes/homes/h-495272,Quinto Delta LLC (89%); Ukr Consulting LLC (10%),Affiliated With Marquis Health Services,Feb 2020,yes,Lexington Rehabilitation & Healthcare Center / Cambridge Healthcare portfolio,before Feb 2020,unknown,Cambridge Healthcare portfolio,Marquis Limited LLC / Reliant Pro Rehab LLC,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Trade press identifies Tryko Partners as the private equity buyer of Lexington Rehabilitation & Healthcare in Richmond as part of its February 2020 Virginia expansion, with Marquis Health Services as operator. The current ProPublica page for Canterbury Rehabilitation and Healthcare Center at the same address shows Tryko-linked Quinto Delta / Ukr Consulting ownership and Marquis managerial control. This is a strong silver_main row even though the pre-period facility-side ownership trail is coming mainly from the public deal coverage rather than a fully recovered historical CMS owner page.",silver_main,chain_deal_plus_facility_match,facility_cms_direct,unknown
PE007,Tryko Partners,Marquis Health Services,Collingswood Rehabilitation And Healthcare Center,215092,MD,Rockville,"299 Hurley Avenue, Rockville, MD 20850",https://skillednursingnews.com/2019/02/dwight-capitals-13m-bridge-loan-in-ohio-marquis-tryko-expand-in-maryland/,https://projects.propublica.org/nursing-homes/homes/h-215092,Quinto Holdings LLC (89%); Ukr Consulting LLC (10%),Affiliated With Marquis Health Services,Feb 2019,yes,Collingswood Nursing Facilities Inc.,before Feb 2019,unknown,Collingswood Nsg. & Rehab. Cen.,Marquis Limited LLC / Reliant Pro Rehab LLC,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Public deal coverage identifies Tryko Partners as the buyer behind Marquis Health Services' Rockville expansion, naming Collingswood Rehabilitation & Healthcare Center in February 2019. The current ProPublica page for the same CCN and address shows Tryko-linked ownership and Marquis managerial control, while the 2019 HealthcareComps page still lists Collingswood Nursing Facilities Inc. at the same facility. This is a strong silver_main row even though the historical pre-period ownership record is a local for-profit corporation rather than a nonprofit seller.",silver_main,chain_deal_plus_facility_match,facility_cms_direct,likely_non_pe
PE007,Tryko Partners,Marquis Health Services,Markley Rehabilitation And Healthcare Center,395483,PA,Norristown,"550 East Fornance Street, Norristown, PA 19401",https://seniorshousingbusiness.com/tryko-partners-acquires-regina-community-nursing-center-in-norristown-pennsylvania/,https://projects.propublica.org/nursing-homes/homes/h-395483,Quinto Nexgen LLC (79%); Ukr Nexgen LLC (20%),Affiliated With Marquis Health Services,Dec 2020,yes,Regina Community Nursing Center / Regina Nursing Center,before Dec 2020,non_pe,Regina Community Nursing Center,Marquis Limited LLC / Reliant Pro Rehab LLC,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Public deal coverage identifies Tryko Partners as the private equity buyer of Regina Community Nursing Center in December 2020, with the facility rebranded as Markley Rehabilitation & Healthcare Center under Marquis Health Services. The current ProPublica ownership page shows Tryko-linked Quinto Nexgen / Ukr Nexgen ownership and Marquis managerial control, while the 2019 HealthcareComps page identifies Regina Community Nursing Center as a faith-based nonprofit. This is a strong silver_main row and one of the cleaner new Tryko additions.",silver_main,chain_deal_plus_facility_match,facility_cms_direct,clear_non_pe
PE007,Tryko Partners,Marquis Health Services,Mount Holly Rehabilitation & Healthcare Center,315128,NJ,Lumberton,"62 Richmond Avenue, Lumberton, NJ 08048",https://www.kaufmanhall.com/news/kaufman-hall-advises-virtua-health-skilled-nursing-facility-transaction,https://projects.propublica.org/nursing-homes/homes/h-315128,Quinto Nexgen LLC (79%); Ukr Nexgen LLC (20%),Affiliated With Marquis Health Services,Apr 2022,yes,"Virtua Health and Rehabilitation Center at Mount Holly, Inc.",before Apr 2022,non_pe,Virtua Health & Rehab Mt Holly,Marquis Limited LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"This is a clean target. The 2019 CMS-mirrored page shows a nonprofit Virtua-owned facility at the same address and CCN, while the current CMS-linked page shows Tryko-linked indirect owners and Marquis managerial control since Apr 2022 after the Virtua transaction.",gold_main,facility_public_current_plus_prehistory,facility_cms_direct,clear_non_pe
PE007,Tryko Partners,Marquis Health Services,Roosevelt Rehabilitation And Healthcare Center,395537,PA,Philadelphia,"7800 Bustleton Avenue, Philadelphia, PA 19152",https://skillednursingnews.com/2020/01/blueprint-pulls-off-seven-snf-sale-in-alabama-tryko-grows-portfolio-in-philadelphia/,https://projects.propublica.org/nursing-homes/homes/h-395537,Glendale Opportunity Fund LLC (76%); Rsbrm Holdings LLC (22%),Affiliated With Marquis Health Services,Nov 2019,yes,"Glendale Uptown Home / GS Operator, L.P.",before Nov 2019,unknown,"Glendale Manager, LP / Craig Flashner",Marquis Limited LLC / Reliant Pro Rehab LLC,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Public deal coverage identifies Tryko Partners as the buyer behind the Philadelphia acquisition of Glendale Uptown Home, which was rebranded as Roosevelt Rehabilitation & Healthcare Center in late 2019 under Marquis Health Services. The current ProPublica page for the same CCN and address shows Tryko-linked indirect ownership and Marquis managerial control since Nov 2019, while the 2019 HealthcareComps page lists Glendale Uptown Home under GS Operator, L.P. This supports a silver_main non-PE-to-PE transition, though the pre-period seller is a private for-profit rather than a fully audited nonprofit.",silver_main,chain_deal_plus_facility_match,facility_cms_direct,likely_non_pe
PE007,Tryko Partners,Marquis Health Services,Springfield Rehabilitation And Healthcare Center,395690,PA,Springfield,"463 West Sproul Road, Springfield, PA 19064",https://skillednursingnews.com/2020/06/tryko-expands-again-with-pa-pickup-monticello-provides-41m-for-two-snf-refinance/,https://projects.propublica.org/nursing-homes/homes/h-395690,Quinto Delta LLC (89%); Ukr Consulting LLC (10%),Affiliated With Marquis Health Services,Jun 2020,yes,Harlee Manor Inc.,before Jun 2020,unknown,Harlee Manor Nursing and Rehabilitation Center,Quinto Delta LLC / Marquis Health Services,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Public deal coverage identifies Tryko Partners as the buyer behind the Pennsylvania pickup of Harlee Manor, which became Springfield Rehabilitation & Healthcare Center in June 2020 under Marquis Health Services. The current ProPublica page for the same CCN and address shows Tryko-linked Quinto Delta / Ukr Consulting ownership, while the 2019 HealthcareComps page lists Harlee Manor Inc. at the same Springfield address. This makes Springfield a strong silver_main row with a facility-specific bridge from the public deal source into current CMS ownership data.",silver_main,chain_deal_plus_facility_match,facility_cms_direct,likely_non_pe
PE007,Tryko Partners,Marquis Health Services,Westmoreland Rehabilitation & Healthcare Center,495268,VA,Colonial Beach,"2400 Mckinney Boulevard, Colonial Beach, VA 22443",https://www.roi-nj.com/2020/02/25/healthcare/tryko-partners-grows-in-mid-atlantic-with-acquisition-of-3-skilled-nursing-facilities/,https://projects.propublica.org/nursing-homes/homes/h-495268,Quinto Delta LLC (89%); Ukr Consulting LLC (10%),Affiliated With Marquis Health Services,Feb 2020,yes,Cambridge Healthcare Holdings LLC / Mary Washington Convalescent & Nursing Care LLC,before Feb 2020,unknown,Cambridge Healthcare portfolio,Marquis Limited LLC / Reliant Pro Rehab LLC,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Trade press identifies Tryko Partners as the private equity buyer of Westmoreland Rehabilitation & Healthcare Center in February 2020, with Marquis Health Services as operator. The current ProPublica page shows Tryko-linked Quinto Delta / Ukr Consulting ownership and Marquis managerial control, while the 2019 HealthcareComps page shows Cambridge Healthcare Holdings LLC in the ownership structure. This is a strong silver_main row, but the pre-period chain side is still treated as likely non-PE rather than fully verified.",silver_main,chain_deal_plus_facility_match,facility_cms_direct,likely_non_pe
PE007,Tryko Partners,Marquis Health Services,Woodbine Rehabilitation & Healthcare Center,495019,VA,Alexandria,"2729 King Street, Alexandria, VA 22302",https://www.roi-nj.com/2020/02/25/healthcare/tryko-partners-grows-in-mid-atlantic-with-acquisition-of-3-skilled-nursing-facilities/,https://projects.propublica.org/nursing-homes/homes/h-495019,Quinto Delta LLC (89%); Ukr Consulting LLC (10%); Skilled Venture LLC,Affiliated With Marquis Health Services,Feb 2020,yes,Cambridge Healthcare Holdings LLC / Woodbine Convalescent & Nursing Care LLC,before Feb 2020,unknown,Cambridge Healthcare portfolio,Marquis Limited LLC / Reliant Pro Rehab LLC,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Trade press identifies Tryko Partners as the private equity buyer of three Virginia skilled nursing facilities from the Cambridge Healthcare portfolio in February 2020, with Marquis Health Services as operator. The current ProPublica ownership page for the same CCN and address shows Tryko-linked Quinto Delta / Ukr Consulting ownership and Marquis managerial control, while the 2019 HealthcareComps page lists Cambridge Healthcare Holdings LLC in the ownership structure. This is a strong silver_main row, but it stays below gold because the pre-period side is a for-profit chain rather than a fully verified nonprofit/local seller.",silver_main,chain_deal_plus_facility_match,facility_cms_direct,likely_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Bloomfield Care Center,165326,IA,Bloomfield,"800 North Davis Street, Bloomfield, IA 52537",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165326,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,"Current ProPublica ownership shows Iowa Portfolio Opco Holdings LLC as the direct owner and Legacy Healthcare Financial Services LLC in managerial control since Aug 2024. The 2019 HealthcareComps page identifies Bloomfield Care Center under ABCM Corporation at the same address and CCN. This is a strong ABCM-to-Cascade/Legacy transition, but it enters the repo through the silver deal-first build rather than the original gold facility-verification pass.",silver_main,chain_deal_plus_facility_match,facility_cms_direct,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Colonial Manor Of Elma,165386,IA,Elma,"407 9th Street, Elma, IA 50628",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165386,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,Colonial Manor Of Elma Inc.; ABCM Corporation direct ownership interest,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"Current CMS-linked ownership shows Iowa Portfolio Opco Holdings LLC and Legacy managerial control since Aug 2024. The older CMS-mirrored page lists Colonial Manor Of Elma Inc. with ABCM Corporation as a 5% or greater direct owner, making this a clean ABCM-to-Cascade/Legacy transition.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Concord Care Center,165364,IA,Garner,"490 West Lyons Street, Garner, IA 50438",https://www.beckershospitalreview.com/post-acute/pe-firm-acquires-29-iowa-nursing-homes-for-85m/,https://projects.propublica.org/nursing-homes/homes/h-165364,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"The current CMS-linked page shows Legacy managerial control since Aug 2024. Older provider listings identify Concord as part of ABCM Corporation, the seller named in the 2024 Cascade transaction, making this a strong non-PE to PE transition candidate.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Emmetsburg Care Center,165352,IA,Emmetsburg,"2405 21st Street, Emmetsburg, IA 50536",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165352,Iowa Portfolio Opco Holdings Llc (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services Llc,pe,owner_and_operator_change,likely_non_pe_to_pe,no,exact,silver,Current ProPublica ownership shows Iowa Portfolio Opco Holdings Llc as the direct owner and Legacy Healthcare Financial Services Llc in managerial control since Aug 2024. The 2019 HealthcareComps page identifies Emmetsburg Care Center under ABCM Corporation at the same address and CCN. This is a strong ABCM-to-Cascade/Legacy transition added through the silver expansion workflow.,silver_main,chain_deal_plus_facility_match,facility_cms_direct,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Grandview Healthcare Center,165340,IA,Oelwein,"800 Fifth Street Se, Oelwein, IA 50662",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165340,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"Another clean Oelwein example. Current CMS-linked ownership shows the post-Cascade/Legacy structure, while older records identify ABCM as the prior owner.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Guttenberg Care Center,165334,IA,Guttenberg,"1315 Acre Street, Guttenberg, IA 52052",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165334,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"A clean ABCM-to-Cascade/Legacy transition. Current CMS-linked ownership shows Iowa Portfolio Opco Holdings LLC and Legacy managerial control since Aug 2024, while the older page shows ABCM Corporation as the pre-period owner.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Harmony House Health Care Center,165152,IA,Waterloo,"2950 West Shaulis Road, Waterloo, IA 50701",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165152,Iowa Portfolio Opco Holdings LLC (100%),Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,owner_and_operator_change,non_pe_to_pe,yes,exact,gold,"This Harmony facility is usable and distinct from the weaker Harmony/ManorCare cases. The older page shows ABCM as the pre-period owner, and the current CMS-linked page shows the Legacy/Cascade structure since Aug 2024.",gold_main,facility_public_current_plus_prehistory,facility_cms_managerial,clear_non_pe
PE008,Cascade Capital Group,Legacy Healthcare,Heritage Care And Rehabilitation Center,165367,IA,Mason City,"501 South Kentucky Ave, Mason City, IA 50401",https://iowacapitaldispatch.com/2024/10/21/private-equity-firm-buys-29-iowa-nursing-homes-in-massive-85-million-deal/,https://projects.propublica.org/nursing-homes/homes/h-165367,No direct owner information on current page; Gpn Fam Tr Ua 04282008 indirect owner; Legacy Healthcare Financial Services LLC managerial control since Aug 2024,Affiliated With Legacy Healthcare,Aug 2024,yes,ABCM Corporation,before Aug 2024,non_pe,ABCM Corporation,Legacy Healthcare Financial Services LLC,pe,operator_change_with_owner_gap,likely_non_pe_to_pe,no,probable,silver,"Older CMS-mirrored records clearly show ABCM Corporation as the pre-period owner, while the current page shows Legacy managerial control since Aug 2024. Because the direct-owner fields are incomplete on the current page, this stays as a strong but not yet fully verified row.",silver_main,chain_deal_plus_facility_match,facility_cms_managerial,clear_non_pe
