ccn_str,facility_name,state,sample_role,provider_chain_name_latest,owner_name_raw_primary,owner_aliases_raw,owner_identification_method,owner_cluster,parent_owner_name,owner_source_type,owner_source_label,owner_source_url,owner_source_note,reit_years_in_panel,first_reit_year_in_panel,last_reit_year_in_panel,consecutive_reit_run_start,consecutive_reit_run_end,consecutive_reit_run_length,first_reit_snapshot_date,last_reit_snapshot_date,owner_takeover_date_estimated,owner_takeover_date_source,change_in_ownership_date_if_observed,change_in_ownership_type,prior_owner_name_if_observed,prior_owner_source,all_buyer_chow_dates,all_buyer_chow_seller_names,pre_reit_snapshot_date,pre_reit_snapshot_owner_entities,cluster_size
155775,CUMBERLAND POINTE HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-12-02,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-11-06,"KELLY BRAVERMAN CEO, PRESIDENT|CAROL WARD AD;|STEPHEN J BARDOCZI|TRILOGY MANAGEMENT SERVICES LLC|WITHAM MEMORIAL HOSPITAL|DANIEL E SELLERS CFO|MICHAEL JASON HORNBECKER BOARD TRUSTEE|ANDREA CASTETTER BOARD TRUSTEE|CLAUDE A HAWKINS BOARD TRUSTEE|JOHN W BRAND BOARD TRUSTEE|BRETT BAYSTON BOARD TRUSTEE",38
155762,FOREST PARK HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,TRILOGY REAL ESTATE INVESTMENT TRUST,"AMERICAN HEALTHCARE REIT, INC.|TRILOGY REAL ESTATE INVESTMENT TRUST|AMERICAN HEALTHCARE REIT INC",named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-09-01,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-08-01,JOHN D PIDGEON BOARD MEMBER|ROBIN HUSTON ADMINISTRATOR|MARION E SHORE BOARD MEMBER|HENRY COUNTY MEMORIAL HOSPITAL|DEBORAH WARE BOARD MEMBER|PAUL F JANSSEN PRESIDENT/CEO|TRILOGY HEALTHCARE OPERATIONS OF RICHMOND LLC|SHELDON L DYNES BOARD MEMBER,38
155830,HARRISON'S CROSSING HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-10-01,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-09-01,MATTHEW L HEADLEY BOARD MEMBER|PUTNAM COUNTY HOSPITAL|DENNIS D O'HAIR BOARD MEMBER|KEITH P LANDRY SECRETARY/TREASURER|ARNOLD D BRAY PRESIDENT|RHS PARTNERS OF TERRE HAUTE LLC|JANICE M FRY BOARD MEMBER|ROBERT N MANN VICE PRESIDENT|DENNIS A WEATHERFORD PRESIDENT/CEO|SEAN C MEDSKER ADMINISTRATOR|KATRINA ANN LEWIS BOARD MEMBER,38
155818,HEARTHSTONE HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-11-06,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-10-01,DAVIESS COUNTY HOSPITAL|RANDALL RUSSELL CFO|TRACY CONROY CEO|DERON STEINER BOARD CHAIR|SARA KELLEY ADMINISTRATOR|KATHY M CORBIN CONTRACTED DIRECTOR OF LICENSURE,38
155680,HOMEWOOD HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-12-02,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-11-06,"KELLY BRAVERMAN CEO, PRESIDENT|STEPHEN J BARDOCZI VICE PRESIDENT|WITHAM MEMORIAL HOSPITAL|GEORGE POGAS CFO, SENIOR VP|MICHAEL JASON HORNBECKER BOARD TRUSTEE|ANDREA CASTETTER BOARD TRUSTEE|TRILOGY HEALTHCARE OF LEBANON, LLC|CLAUDE A HAWKINS BOARD TRUSTEE|JOHN W BRAND BOARD TRUSTEE|BRETT BAYSTON BOARD TRUSTEE",38
155736,MILL POND HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,TRILOGY REAL ESTATE INVESTMENT TRUST,"AMERICAN HEALTHCARE REIT, INC.|TRILOGY REAL ESTATE INVESTMENT TRUST|AMERICAN HEALTHCARE REIT INC",named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-09-01,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-08-01,"MAURICE WOOLFOLK ADMINISTRATOR|MATTHEW L HEADLEY BOARD MEMBER|PUTNAM COUNTY HOSPITAL|DENNIS D O'HAIR BOARD MEMBER|TRILOGY HEALTHCARE OPERATIONS OF GREENCASTLE, LLC|KEITH P LANDRY SECRETARY/TREASURER|ARNOLD D BRAY PRESIDENT|JANICE M FRY BOARD MEMBER|ROBERT N MANN VICE PRESIDENT|DENNIS A WEATHERFORD PRESIDENT/CEO|KATRINA ANN LEWIS BOARD MEMBER",38
155495,PADDOCK SPRINGS,IN,control,TRILOGY HEALTH SERVICES,TRILOGY REAL ESTATE INVESTMENT TRUST,"AMERICAN HEALTHCARE REIT, INC.|TRILOGY REAL ESTATE INVESTMENT TRUST|AMERICAN HEALTHCARE REIT INC",named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-09-01,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-08-01,"ROY L WILSON BOARD MEMBER|TIMOTHY G CLARK BOARD MEMBER|HANCOCK REGIONAL HOSPITAL|TRILOGY HEALTHCARE OF MILFORD, LLC|STEVEN V LONG PRESIDENT/CEO|HUMBERTO NUNEZ ADMINISTRATOR|JOSHUA DAUGHERTY VICE CHAIR|DEAN R FELKER BOARD MEMBER|MARIA F BOND SECRETARY|JAMES W MILLER BOARD MEMBER|SARA M JOYNER BOARD MEMBER",38
155779,PRAIRIE LAKES HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,TRILOGY REAL ESTATE INVESTMENT TRUST,"AMERICAN HEALTHCARE REIT, INC.|TRILOGY REAL ESTATE INVESTMENT TRUST|AMERICAN HEALTHCARE REIT INC",named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-09-01,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-08-01,ROY L WILSON SECRETARY|TIMOTHY G CLARK BOARD MEMBER|HANCOCK REGIONAL HOSPITAL|STEVEN V LONG CEO/PRESIDENT|STACY MEVZEK ADMINISTRATOR|TRILOGY HEALTHCARE OF HAMILTON II LLC|JOSHUA DAUGHERTY VICE CHAIR|DEAN R FELKER BOARD MEMBER|MARIA F BOND SECRETARY|JAMES W MILLER CHAIRPERSON|SARA M JOYNER BOARD MEMBER,38
155829,"SPRINGS AT LAFAYETTE, THE",IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-12-02,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-11-06,"JACK JONES|KELLY BRAVERMAN CEO, PRESIDENT|STEPHEN J BARDOCZI|WITHAM MEMORIAL HOSPITAL|GEORGE POGAS|RHS PARTNERS OF LAFAYETTE LLC|ANDREA CASTETTER BOARD TRUSTEE|CLAUDE A HAWKINS|JOHN W BRAND|JAMES DAUGHERTY|BRETT BAYSTON BOARD TRUSTEE",38
155727,STONEBRIDGE HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,TRILOGY REAL ESTATE INVESTMENT TRUST,"AMERICAN HEALTHCARE REIT, INC.|TRILOGY REAL ESTATE INVESTMENT TRUST|AMERICAN HEALTHCARE REIT INC",named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-09-01,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-08-01,"JACK L MCCORY BOARD MEMBER|RICK L SMITH CHAIRMAN|ANDREW B MARKEL BOARD MEMBER|COURTNEY B KLEBER BOARD MEMBER|DAWN BLACK ADMINISTRATOR|DEBORAH A MANN VP FINANCE/CFO|MATTHEW K REEDY BOARD MEMBER|TERRENCE L GILLILAND BOARD MEMBER|SUSAN D BEVERS BOARD MEMBER|ERIC D FISH PRESIDENT/CEO|BRANDON J HARPE BOARD MEMBER|JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL|ROBERT D GILLASPY BOARD MEMBER|TRILOGY HEALTHCARE OF STONEBRIDGE, LLC",38
155838,STONECROFT HEALTH CAMPUS,IN,control,TRILOGY HEALTH SERVICES,AMERICAN HEALTHCARE REIT INC,AMERICAN HEALTHCARE REIT INC|TRILOGY REAL ESTATE INVESTMENT TRUST,named_reit_owner_row,American Healthcare REIT / Trilogy,"American Healthcare REIT, Inc.",official_company_ir,American Healthcare REIT investor relations,https://ir.americanhealthcarereit.com/news/news-details/2024/American-Healthcare-REIT-Acquires-Remaining-Minority-Membership-Interest-in-Trilogy-REIT-Holdings-Becomes-Sole-Owner-of-Trilogy-REIT-Holdings/default.aspx,American Healthcare REIT said in September 2024 that it became the sole owner of Trilogy REIT Holdings.,2025|2026,2025,2026,2025,2026,2,2025-11-06,2026-03-02,2015-12-01,CMS SNF_All_Owners association date,,,,,,,2025-10-01,DAVIESS COUNTY HOSPITAL|RANDALL RUSSELL CFO|TRACY CONROY CEO|GRIFFIN BILSKIE ADMINISTRATOR|DERON STEINER BOARD CHAIR|KATHY M CORBIN CONTRACTED DIRCTOR OF LICENSURE,38
