analysis_spec,sample_role,analysis_sample_label,treatment_analysis_sample,ccn_str,analysis_facility_name,analysis_state,year,ever_treated,treat_year,post_treat,event_time,deal_id,pe_firm,platform_name,transition_type,transition_verified,verification_tier,ownership_effective_date,baseline_medicaid_share,baseline_medicaid_n_years,baseline_medicare_share,baseline_medicare_n_years,baseline_avgadl_mds3,baseline_avgadl_mds3_n_years,high_medicare,ltcfocus_avgadl_mds3,ltcfocus_avg_dailycensus,any_private_equity_owner,any_reit_owner,any_trust_owner,any_investment_firm_owner,any_holding_company_owner,any_management_company_owner,baseline_window_start,baseline_window_end,baseline_method,valid_pseudocohorts,has_baseline_medicaid,has_form671,has_pbj_nurse,has_provider_info,has_provider_info_latest,has_owner_snapshot,has_chow_event,has_enrollment_snapshot,control_v2_gold_plus_silver_eligible,control_v2_gold_plus_silver_staffing_eligible,panel_years,years_with_form671,years_with_pbj_nurse,pbj_days_observed,pbj_mean_census,pbj_total_rn_hours,pbj_total_nurse_hours,pbj_mean_rn_hprd,pbj_mean_nurse_hprd,provider_reported_staffing_hprd,provider_staffing_rating,provider_rn_staffing_rating,provider_health_rating,provider_overall_rating,provider_qm_rating,provider_survey_score,provider_reported_incidents,provider_subst_complaints,provider_ic_citations,provider_number_of_fines,provider_total_fines_dollars,provider_payment_denials,provider_total_penalties,provider_changed_ownership_12m,form671_total_residents_mean,form671_medicaid_census_mean,form671_medicare_census_mean,form671_medicaid_share_mean,provider_ownership_type,provider_certified_beds,provider_avg_residents_per_day,provider_legal_business_name,provider_chain_name,provider_chain_id,provider_name,provider_state,facility_name_treatment,state_treatment,city_treatment,provider_processing_date,outcome_available_pbj_staffing,has_provider_staffing_outcome,has_star_rating_outcome,has_form671_payer_mix_outcome,sample_main_staffing,sample_provider_staffing,sample_star_ratings,sample_payer_mix_outcome
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055001,REDLANDS HEALTHCARE CENTER,CA,2026,0,,,,,,,,,,,45.05328279883382,3.0,17.082402332361518,3.0,19.446184645286685,3.0,0,,,False,False,False,False,True,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,0,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,,,,,,,4.2077,2.0,,5.0,5.0,4.0,16.000,,,,0.0,0.0,0.0,0.0,N,,,,,For profit - Limited Liability company,78.0,74.2,ASH HOLDINGS LLC,PACS GROUP,690.0,REDLANDS HEALTHCARE CENTER,CA,,,,2026-03-01,0,1,1,0,0,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055002,COUNTRY MANOR HEALTHCARE,CA,2016,0,,,,,,,,,,,46.75536831875608,3.0,2.879743440233236,3.0,13.299916423712345,3.0,0,12.34,78.38,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,0,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,,,,,,,3.81402,4.0,4.0,3.0,4.0,4.0,46.000,0.0,1.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Partnership,99.0,82.0,"CANYON PROPERTIES III, LLC",,,COUNTRY MANOR HEALTHCARE,,,,,,0,1,1,0,0,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055002,COUNTRY MANOR HEALTHCARE,CA,2017,0,,,,,,,,,,,46.75536831875608,3.0,2.879743440233236,3.0,13.299916423712345,3.0,0,13.46,82.56,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,82.64718970642883,12653.28,119151.02,0.4197598316305782,3.952698414409439,4.03855,4.0,4.0,2.0,4.0,5.0,70.667,0.0,0.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Partnership,99.0,83.0,"CANYON PROPERTIES III, LLC",,,COUNTRY MANOR HEALTHCARE,,,,,2017-12-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055002,COUNTRY MANOR HEALTHCARE,CA,2018,0,,,,,,,,,,,46.75536831875608,3.0,2.879743440233236,3.0,13.299916423712345,3.0,0,12.83,82.45,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,82.10092238679195,15542.75,121510.13,0.519344649893987,4.057735480579426,4.0805,,4.0,,,,62.400,0.0,2.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Partnership,99.0,81.5,"CANYON PROPERTIES III, LLC",,,COUNTRY MANOR HEALTHCARE,,,,,2018-12-01,1,1,0,0,1,1,0,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055002,COUNTRY MANOR HEALTHCARE,CA,2019,0,,,,,,,,,,,46.75536831875608,3.0,2.879743440233236,3.0,13.299916423712345,3.0,0,14.04,84.63,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,84.35954703509051,16892.38,127503.85,0.5481968835797805,4.141932963185181,4.05784,,4.0,,,,69.333,0.0,3.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Partnership,99.0,84.8,"CANYON PROPERTIES III, LLC",,,COUNTRY MANOR HEALTHCARE,,,,,2019-11-01,1,1,0,0,1,1,0,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055002,COUNTRY MANOR HEALTHCARE,CA,2020,0,,,,,,,,,,,46.75536831875608,3.0,2.879743440233236,3.0,13.299916423712345,3.0,0,14.04,62.43,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,366.0,80.48160535117057,17507.15,124241.91,0.6085014443267264,4.239801651222239,4.13061,4.0,4.0,3.0,5.0,5.0,55.333,0.0,3.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Partnership,99.0,83.7,"CANYON PROPERTIES III, LLC",,,COUNTRY MANOR HEALTHCARE,,,,,2020-11-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055002,COUNTRY MANOR HEALTHCARE,CA,2021,0,,,,,,,,,,,46.75536831875608,3.0,2.879743440233236,3.0,13.299916423712345,3.0,0,13.62,91.53,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,91.38544022402718,19306.05,133818.07,0.5802040121568546,4.0128550002773675,4.11628,4.0,4.0,3.0,5.0,5.0,71.333,2.0,5.0,3.0,2.0,25900.24,0.0,2.0,N,,,,,For profit - Partnership,99.0,91.2,"CANYON PROPERTIES III, LLC",,,COUNTRY MANOR HEALTHCARE,,,,,2021-11-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055002,COUNTRY MANOR HEALTHCARE,CA,2022,0,,,,,,,,,,,46.75536831875608,3.0,2.879743440233236,3.0,13.299916423712345,3.0,0,13.13,89.45,False,False,False,False,False,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,365.0,89.88380978924457,20339.26,134979.37,0.6206285369356351,4.117557903168134,4.10399,5.0,,3.0,5.0,5.0,74.000,7.0,6.0,3.0,2.0,25250.24,0.0,2.0,N,,,,,For profit - Partnership,99.0,88.2,"CANYON PROPERTIES III, LLC",,,COUNTRY MANOR HEALTHCARE,,,,,2022-11-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055002,COUNTRY MANOR HEALTHCARE,CA,2023,0,,,,,,,,,,,46.75536831875608,3.0,2.879743440233236,3.0,13.299916423712345,3.0,0,13.09,,False,False,False,False,False,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,1,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,365.0,94.53445147847322,20577.74,138029.61000000002,0.5959713390268085,4.000487025628734,3.87865,5.0,,3.0,5.0,5.0,72.667,8.0,8.0,3.0,0.0,0.0,0.0,0.0,N,96.0,33.0,0.0,0.34375,For profit - Limited Liability company,99.0,96.0,"CANYON PROPERTIES III, LLC",CHARIS TRUST DTD 12/22/16,136.0,COUNTRY MANOR HEALTHCARE,CA,,,,2023-11-01,1,1,1,1,1,1,1,1
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055002,COUNTRY MANOR HEALTHCARE,CA,2024,0,,,,,,,,,,,46.75536831875608,3.0,2.879743440233236,3.0,13.299916423712345,3.0,0,,,False,False,False,False,False,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,1,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,366.0,93.6346153846154,22310.89,135588.2,0.6511730676370449,3.9595711487794087,3.95386,5.0,,3.0,4.0,,95.333,8.0,4.0,1.0,1.0,12335.0,0.0,1.0,N,96.0,32.75,0.0,0.3411458333333333,For profit - Limited Liability company,99.0,94.7,"CANYON PROPERTIES III, LLC",CHARIS TRUST DTD 12/22/16,136.0,COUNTRY MANOR HEALTHCARE,CA,,,,2024-11-01,1,1,1,1,1,1,1,1
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055002,COUNTRY MANOR HEALTHCARE,CA,2025,0,,,,,,,,,,,46.75536831875608,3.0,2.879743440233236,3.0,13.299916423712345,3.0,0,,,False,False,False,False,False,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,1,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,273.0,93.753458618676,18652.24,108087.46,0.7298719641353171,4.2210261000715965,4.31162,5.0,,2.0,3.0,,146.000,14.0,29.0,1.0,1.0,8018.0,0.0,1.0,N,96.0,32.0,0.0,0.3333333333333333,For profit - Limited Liability company,99.0,95.1,"CANYON PROPERTIES III, LLC",CHARIS TRUST DTD 12/22/16,136.0,COUNTRY MANOR HEALTHCARE,CA,,,,2025-11-01,1,1,1,1,1,1,1,1
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055002,COUNTRY MANOR HEALTHCARE,CA,2026,0,,,,,,,,,,,46.75536831875608,3.0,2.879743440233236,3.0,13.299916423712345,3.0,0,,,False,False,False,False,False,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,0,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,,,,,,,4.19824,5.0,,2.0,2.0,1.0,142.000,,,1.0,1.0,8018.0,0.0,1.0,N,,,,,For profit - Limited Liability company,99.0,96.2,"CANYON PROPERTIES III, LLC",CHARIS TRUST DTD 12/22/16,136.0,COUNTRY MANOR HEALTHCARE,CA,,,,2026-03-01,0,1,1,0,0,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055003,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,2016,0,,,,,,,,,,,80.31626724975706,3.0,13.386484936831875,3.0,16.074886297376096,3.0,0,13.9,64.87,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,0,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,,,,,,,4.26052,4.0,3.0,4.0,4.0,2.0,36.000,2.0,4.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Partnership,99.0,57.0,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,,,,0,1,1,0,0,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055003,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,2017,0,,,,,,,,,,,80.31626724975706,3.0,13.386484936831875,3.0,16.074886297376096,3.0,0,13.93,77.12,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,76.9952347773,12748.45,83560.79,0.4556816588610668,2.9773614392103385,3.81044,4.0,3.0,1.0,2.0,2.0,263.833,25.0,13.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Partnership,99.0,67.0,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,,,2017-12-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055003,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,2018,0,,,,,,,,,,,80.31626724975706,3.0,13.386484936831875,3.0,16.074886297376096,3.0,0,16.87,77.01,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,78.30923514890907,18001.63,108091.66,0.6301842152905284,3.7853415341561423,3.58166,,4.0,,,,312.600,23.0,14.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Partnership,99.0,80.1,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,,,2018-12-01,1,1,0,0,1,1,0,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055003,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,2019,0,,,,,,,,,,,80.31626724975706,3.0,13.386484936831875,3.0,16.074886297376096,3.0,0,17.85,78.87,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,365.0,80.76798786961831,10236.62,112714.86,0.3469249084956585,3.823381491036342,3.87489,,2.0,,,,149.500,18.0,8.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Corporation,99.0,79.2,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,,,2019-11-01,1,1,0,0,1,1,0,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055003,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,2020,0,,,,,,,,,,,80.31626724975706,3.0,13.386484936831875,3.0,16.074886297376096,3.0,0,17.22,61.7,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,366.0,82.02562111801242,13070.08,106370.29,0.4354431062050892,3.543872108390945,3.71268,3.0,3.0,1.0,1.0,4.0,193.333,4.0,5.0,,0.0,0.0,0.0,0.0,N,,,,,For profit - Partnership,99.0,81.7,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,,,2020-11-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055003,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,2021,0,,,,,,,,,,,80.31626724975706,3.0,13.386484936831875,3.0,16.074886297376096,3.0,0,17.04,76.71,,,,,,,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,0,0,0,1.0,1.0,11.0,3.0,9.0,344.0,76.5547188089518,8957.12,88402.9,0.3371919117066448,3.355120891538051,3.42002,2.0,2.0,1.0,1.0,4.0,138.000,6.0,4.0,2.0,1.0,13269.75,0.0,1.0,N,,,,,For profit - Partnership,99.0,76.3,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,,,2021-11-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055003,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,2022,0,,,,,,,,,,,80.31626724975706,3.0,13.386484936831875,3.0,16.074886297376096,3.0,0,16.44,76.8,False,False,False,False,False,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,0,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,365.0,76.41260351966874,10074.89,101730.5,0.3621127868695675,3.6413468825670066,3.62803,3.0,,1.0,1.0,4.0,209.333,10.0,7.0,5.0,1.0,13269.75,1.0,2.0,N,,,,,For profit - Partnership,99.0,74.6,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,,,2022-11-01,1,1,1,0,1,1,1,0
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055003,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,2023,0,,,,,,,,,,,80.31626724975706,3.0,13.386484936831875,3.0,16.074886297376096,3.0,0,16.7,,False,False,False,False,False,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,1,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,365.0,82.03702221691353,9696.21,113835.76,0.3237841533369594,3.804106557295411,3.80613,3.0,,1.0,2.0,5.0,225.333,14.0,11.0,4.0,0.0,0.0,1.0,1.0,N,75.0,41.0,24.0,0.5466666666666666,For profit - Partnership,99.0,82.8,"EUREKA REHABILITATION & WELLNESS CENTER, LP",,,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,,,,2023-11-01,1,1,1,1,1,1,1,1
gold_plus_silver_v2_same_state,control,control_v2_gold_plus_silver_same_state,,055003,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,2024,0,,,,,,,,,,,80.31626724975706,3.0,13.386484936831875,3.0,16.074886297376096,3.0,0,,,False,False,False,False,False,False,2016.0,2023.0,control_weighted_pseudocohort,6.0,1,1,1,1,1,1,0,1,1.0,1.0,11.0,3.0,9.0,366.0,86.19983277591973,9699.21,117566.62,0.3074648722580057,3.7262339285887704,3.6132,2.0,,1.0,1.0,4.0,208.667,14.0,12.0,3.0,1.0,15000.0,0.0,1.0,N,75.0,41.0,24.0,0.5466666666666666,For profit - Partnership,99.0,85.8,"EUREKA REHABILITATION & WELLNESS CENTER, LP",BRIUS MANAGEMENT,92.0,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,,,,2024-11-01,1,1,1,1,1,1,1,1
